Prob001_zero,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob002_m2014_q4i,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob003_step_one,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob004_vector2,18,20,0.9,.,.,.,R,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob005_notgate,19,20,0.95,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob006_vectorr,17,20,0.85,.,.,S,S,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.,.
Prob007_wire,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob008_m2014_q4h,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob009_popcount3,11,20,0.55,R,R,.,.,.,.,.,.,.,R,.,R,R,R,R,.,.,R,.,R
Prob010_mt2015_q4a,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob011_norgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob012_xnorgate,19,20,0.95,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob013_m2014_q4e,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob014_andgate,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob015_vector1,18,20,0.9,.,.,.,S,.,.,.,.,.,.,.,.,.,C,.,.,.,.,.,.
Prob016_m2014_q4j,10,20,0.5,R,.,C,.,R,.,.,C,R,R,C,.,.,.,.,R,R,.,.,R
Prob017_mux2to1v,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob018_mux256to1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob019_m2014_q4f,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob020_mt2015_eq2,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob021_mux256to1v,16,20,0.8,.,S,S,.,.,.,S,.,.,.,.,.,.,.,.,.,S,.,.,.
Prob022_mux2to1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob023_vector100r,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob024_hadd,18,20,0.9,.,.,R,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob025_reduction,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob026_alwaysblock1,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob027_fadd,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.
Prob028_m2014_q4a,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.
Prob029_m2014_q4g,17,20,0.85,.,R,.,.,.,.,.,.,.,.,.,.,.,.,S,R,.,.,.,.
Prob030_popcount255,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob031_dff,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob032_vector0,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob033_ece241_2014_q1c,16,20,0.8,.,R,.,.,.,.,.,R,.,.,.,.,.,.,.,R,R,.,.,.
Prob034_dff8,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob035_count1to10,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob036_ringer,15,20,0.75,.,.,R,.,.,R,S,.,.,w,.,.,.,.,.,.,.,w,.,.
Prob037_review2015_count1k,17,20,0.85,.,.,.,.,.,.,.,.,.,.,R,.,.,R,.,.,.,.,.,R
Prob038_count15,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob039_always_if,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob040_count10,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
Prob041_dff8r,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob042_vector4,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob043_vector5,7,20,0.35,R,.,.,R,C,.,R,.,.,R,R,R,S,R,.,S,.,R,R,R
Prob044_vectorgates,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob045_edgedetect2,19,20,0.95,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob046_dff8p,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob047_dff8ar,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob048_m2014_q4c,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob049_m2014_q4b,19,20,0.95,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.
Prob050_kmap1,1,20,0.05,R,R,R,R,R,R,R,R,w,R,.,S,R,R,R,R,R,R,R,R
Prob051_gates4,19,20,0.95,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob052_gates100,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,S,.,.,.
Prob053_m2014_q4d,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob054_edgedetect,19,20,0.95,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.
Prob055_conditional,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
